pass,    time (ms),    total time (ms),    time,     total_time
1,    2179,    2179,    000h 00m 02.179s,    000h 00m 02.179s
2,    2189,    4368,    000h 00m 02.189s,    000h 00m 04.368s
3,    2276,    6644,    000h 00m 02.276s,    000h 00m 06.644s
4,    2184,    8828,    000h 00m 02.184s,    000h 00m 08.828s
5,    2148,    10976,    000h 00m 02.148s,    000h 00m 10.976s
6,    2152,    13128,    000h 00m 02.152s,    000h 00m 13.128s
7,    2208,    15336,    000h 00m 02.208s,    000h 00m 15.336s
8,    2203,    17539,    000h 00m 02.203s,    000h 00m 17.539s
9,    2200,    19739,    000h 00m 02.200s,    000h 00m 19.739s
10,    2264,    22003,    000h 00m 02.264s,    000h 00m 22.003s
11,    2191,    24194,    000h 00m 02.191s,    000h 00m 24.194s
12,    2256,    26450,    000h 00m 02.256s,    000h 00m 26.450s
13,    2153,    28603,    000h 00m 02.153s,    000h 00m 28.603s
14,    2291,    30894,    000h 00m 02.291s,    000h 00m 30.894s
15,    2114,    33008,    000h 00m 02.114s,    000h 00m 33.008s
16,    2224,    35232,    000h 00m 02.224s,    000h 00m 35.232s
17,    2216,    37448,    000h 00m 02.216s,    000h 00m 37.448s
18,    2229,    39677,    000h 00m 02.229s,    000h 00m 39.677s
19,    2329,    42006,    000h 00m 02.329s,    000h 00m 42.006s
20,    2232,    44238,    000h 00m 02.232s,    000h 00m 44.238s
21,    2213,    46451,    000h 00m 02.213s,    000h 00m 46.451s
22,    2258,    48709,    000h 00m 02.258s,    000h 00m 48.709s
23,    2115,    50824,    000h 00m 02.115s,    000h 00m 50.824s
24,    2213,    53037,    000h 00m 02.213s,    000h 00m 53.037s
25,    2212,    55249,    000h 00m 02.212s,    000h 00m 55.249s
26,    2243,    57492,    000h 00m 02.243s,    000h 00m 57.492s
27,    2204,    59696,    000h 00m 02.204s,    000h 00m 59.696s
28,    2109,    61805,    000h 00m 02.109s,    000h 01m 01.805s
29,    2145,    63950,    000h 00m 02.145s,    000h 01m 03.950s
30,    2138,    66088,    000h 00m 02.138s,    000h 01m 06.088s
31,    2226,    68314,    000h 00m 02.226s,    000h 01m 08.314s
32,    2222,    70536,    000h 00m 02.222s,    000h 01m 10.536s
33,    2219,    72755,    000h 00m 02.219s,    000h 01m 12.755s
34,    2190,    74945,    000h 00m 02.190s,    000h 01m 14.945s
35,    2090,    77035,    000h 00m 02.090s,    000h 01m 17.035s
36,    2173,    79208,    000h 00m 02.173s,    000h 01m 19.208s
37,    2164,    81372,    000h 00m 02.164s,    000h 01m 21.372s
38,    2147,    83519,    000h 00m 02.147s,    000h 01m 23.519s
39,    2181,    85700,    000h 00m 02.181s,    000h 01m 25.700s
40,    2090,    87790,    000h 00m 02.090s,    000h 01m 27.790s
41,    2297,    90087,    000h 00m 02.297s,    000h 01m 30.087s
42,    2194,    92281,    000h 00m 02.194s,    000h 01m 32.281s
43,    2157,    94438,    000h 00m 02.157s,    000h 01m 34.438s
44,    2163,    96601,    000h 00m 02.163s,    000h 01m 36.601s
45,    2246,    98847,    000h 00m 02.246s,    000h 01m 38.847s
46,    2324,    101171,    000h 00m 02.324s,    000h 01m 41.171s
47,    2238,    103409,    000h 00m 02.238s,    000h 01m 43.409s
48,    2143,    105552,    000h 00m 02.143s,    000h 01m 45.552s
49,    2129,    107681,    000h 00m 02.129s,    000h 01m 47.681s
50,    2344,    110025,    000h 00m 02.344s,    000h 01m 50.025s
51,    2171,    112196,    000h 00m 02.171s,    000h 01m 52.196s
52,    2246,    114442,    000h 00m 02.246s,    000h 01m 54.442s
53,    2142,    116584,    000h 00m 02.142s,    000h 01m 56.584s
54,    2187,    118771,    000h 00m 02.187s,    000h 01m 58.771s
55,    2227,    120998,    000h 00m 02.227s,    000h 02m 00.998s
56,    2024,    123022,    000h 00m 02.024s,    000h 02m 03.022s
57,    2191,    125213,    000h 00m 02.191s,    000h 02m 05.213s
58,    2219,    127432,    000h 00m 02.219s,    000h 02m 07.432s
59,    2197,    129629,    000h 00m 02.197s,    000h 02m 09.629s
60,    2168,    131797,    000h 00m 02.168s,    000h 02m 11.797s
61,    2130,    133927,    000h 00m 02.130s,    000h 02m 13.927s
62,    2160,    136087,    000h 00m 02.160s,    000h 02m 16.087s
63,    2202,    138289,    000h 00m 02.202s,    000h 02m 18.289s
64,    2189,    140478,    000h 00m 02.189s,    000h 02m 20.478s
65,    2285,    142763,    000h 00m 02.285s,    000h 02m 22.763s
66,    2252,    145015,    000h 00m 02.252s,    000h 02m 25.015s
67,    2150,    147165,    000h 00m 02.150s,    000h 02m 27.165s
68,    2095,    149260,    000h 00m 02.095s,    000h 02m 29.260s
69,    2016,    151276,    000h 00m 02.016s,    000h 02m 31.276s
70,    2219,    153495,    000h 00m 02.219s,    000h 02m 33.495s
71,    2195,    155690,    000h 00m 02.195s,    000h 02m 35.690s
72,    2145,    157835,    000h 00m 02.145s,    000h 02m 37.835s
73,    2167,    160002,    000h 00m 02.167s,    000h 02m 40.002s
74,    2220,    162222,    000h 00m 02.220s,    000h 02m 42.222s
75,    2137,    164359,    000h 00m 02.137s,    000h 02m 44.359s
76,    2204,    166563,    000h 00m 02.204s,    000h 02m 46.563s
77,    2142,    168705,    000h 00m 02.142s,    000h 02m 48.705s
78,    2123,    170828,    000h 00m 02.123s,    000h 02m 50.828s
