pass,    time (ms),    total time (ms),    time,     total_time
1,    1608,    1608,    000h 00m 01.608s,    000h 00m 01.608s
2,    1541,    3149,    000h 00m 01.541s,    000h 00m 03.149s
3,    1671,    4820,    000h 00m 01.671s,    000h 00m 04.820s
4,    1682,    6502,    000h 00m 01.682s,    000h 00m 06.502s
5,    1761,    8263,    000h 00m 01.761s,    000h 00m 08.263s
6,    1778,    10041,    000h 00m 01.778s,    000h 00m 10.041s
7,    1481,    11522,    000h 00m 01.481s,    000h 00m 11.522s
8,    1425,    12947,    000h 00m 01.425s,    000h 00m 12.947s
9,    1758,    14705,    000h 00m 01.758s,    000h 00m 14.705s
10,    1483,    16188,    000h 00m 01.483s,    000h 00m 16.188s
11,    1555,    17743,    000h 00m 01.555s,    000h 00m 17.743s
12,    1564,    19307,    000h 00m 01.564s,    000h 00m 19.307s
13,    1637,    20944,    000h 00m 01.637s,    000h 00m 20.944s
14,    1540,    22484,    000h 00m 01.540s,    000h 00m 22.484s
15,    1584,    24068,    000h 00m 01.584s,    000h 00m 24.068s
16,    1465,    25533,    000h 00m 01.465s,    000h 00m 25.533s
17,    1515,    27048,    000h 00m 01.515s,    000h 00m 27.048s
18,    1543,    28591,    000h 00m 01.543s,    000h 00m 28.591s
19,    1487,    30078,    000h 00m 01.487s,    000h 00m 30.078s
20,    1566,    31644,    000h 00m 01.566s,    000h 00m 31.644s
21,    1683,    33327,    000h 00m 01.683s,    000h 00m 33.327s
22,    1402,    34729,    000h 00m 01.402s,    000h 00m 34.729s
23,    1672,    36401,    000h 00m 01.672s,    000h 00m 36.401s
24,    1607,    38008,    000h 00m 01.607s,    000h 00m 38.008s
25,    1516,    39524,    000h 00m 01.516s,    000h 00m 39.524s
26,    1499,    41023,    000h 00m 01.499s,    000h 00m 41.023s
27,    1601,    42624,    000h 00m 01.601s,    000h 00m 42.624s
28,    1521,    44145,    000h 00m 01.521s,    000h 00m 44.145s
29,    1721,    45866,    000h 00m 01.721s,    000h 00m 45.866s
30,    1464,    47330,    000h 00m 01.464s,    000h 00m 47.330s
31,    1643,    48973,    000h 00m 01.643s,    000h 00m 48.973s
32,    1681,    50654,    000h 00m 01.681s,    000h 00m 50.654s
33,    1471,    52125,    000h 00m 01.471s,    000h 00m 52.125s
34,    1597,    53722,    000h 00m 01.597s,    000h 00m 53.722s
35,    1464,    55186,    000h 00m 01.464s,    000h 00m 55.186s
36,    1702,    56888,    000h 00m 01.702s,    000h 00m 56.888s
37,    1459,    58347,    000h 00m 01.459s,    000h 00m 58.347s
38,    1670,    60017,    000h 00m 01.670s,    000h 01m 00.017s
39,    1437,    61454,    000h 00m 01.437s,    000h 01m 01.454s
40,    1761,    63215,    000h 00m 01.761s,    000h 01m 03.215s
41,    1651,    64866,    000h 00m 01.651s,    000h 01m 04.866s
