pass,    time (ms),    total time (ms),    time,     total_time
1,    1508,    1508,    000h 00m 01.508s,    000h 00m 01.508s
2,    1536,    3044,    000h 00m 01.536s,    000h 00m 03.044s
3,    1516,    4560,    000h 00m 01.516s,    000h 00m 04.560s
4,    1505,    6065,    000h 00m 01.505s,    000h 00m 06.065s
5,    1467,    7532,    000h 00m 01.467s,    000h 00m 07.532s
6,    1684,    9216,    000h 00m 01.684s,    000h 00m 09.216s
7,    1656,    10872,    000h 00m 01.656s,    000h 00m 10.872s
8,    1591,    12463,    000h 00m 01.591s,    000h 00m 12.463s
9,    1737,    14200,    000h 00m 01.737s,    000h 00m 14.200s
10,    1610,    15810,    000h 00m 01.610s,    000h 00m 15.810s
11,    1567,    17377,    000h 00m 01.567s,    000h 00m 17.377s
12,    1595,    18972,    000h 00m 01.595s,    000h 00m 18.972s
13,    1682,    20654,    000h 00m 01.682s,    000h 00m 20.654s
14,    1576,    22230,    000h 00m 01.576s,    000h 00m 22.230s
15,    1476,    23706,    000h 00m 01.476s,    000h 00m 23.706s
16,    1695,    25401,    000h 00m 01.695s,    000h 00m 25.401s
17,    1587,    26988,    000h 00m 01.587s,    000h 00m 26.988s
18,    1529,    28517,    000h 00m 01.529s,    000h 00m 28.517s
19,    1585,    30102,    000h 00m 01.585s,    000h 00m 30.102s
20,    1516,    31618,    000h 00m 01.516s,    000h 00m 31.618s
21,    1652,    33270,    000h 00m 01.652s,    000h 00m 33.270s
22,    1725,    34995,    000h 00m 01.725s,    000h 00m 34.995s
23,    1469,    36464,    000h 00m 01.469s,    000h 00m 36.464s
24,    1695,    38159,    000h 00m 01.695s,    000h 00m 38.159s
25,    1682,    39841,    000h 00m 01.682s,    000h 00m 39.841s
26,    1508,    41349,    000h 00m 01.508s,    000h 00m 41.349s
27,    1626,    42975,    000h 00m 01.626s,    000h 00m 42.975s
28,    1427,    44402,    000h 00m 01.427s,    000h 00m 44.402s
29,    1735,    46137,    000h 00m 01.735s,    000h 00m 46.137s
30,    1503,    47640,    000h 00m 01.503s,    000h 00m 47.640s
31,    1704,    49344,    000h 00m 01.704s,    000h 00m 49.344s
32,    1594,    50938,    000h 00m 01.594s,    000h 00m 50.938s
33,    1673,    52611,    000h 00m 01.673s,    000h 00m 52.611s
34,    1485,    54096,    000h 00m 01.485s,    000h 00m 54.096s
35,    1449,    55545,    000h 00m 01.449s,    000h 00m 55.545s
36,    1635,    57180,    000h 00m 01.635s,    000h 00m 57.180s
37,    1673,    58853,    000h 00m 01.673s,    000h 00m 58.853s
38,    1493,    60346,    000h 00m 01.493s,    000h 01m 00.346s
39,    1479,    61825,    000h 00m 01.479s,    000h 01m 01.825s
40,    1449,    63274,    000h 00m 01.449s,    000h 01m 03.274s
41,    1685,    64959,    000h 00m 01.685s,    000h 01m 04.959s
42,    1703,    66662,    000h 00m 01.703s,    000h 01m 06.662s
43,    1661,    68323,    000h 00m 01.661s,    000h 01m 08.323s
44,    1717,    70040,    000h 00m 01.717s,    000h 01m 10.040s
45,    1594,    71634,    000h 00m 01.594s,    000h 01m 11.634s
46,    1695,    73329,    000h 00m 01.695s,    000h 01m 13.329s
47,    1571,    74900,    000h 00m 01.571s,    000h 01m 14.900s
48,    1506,    76406,    000h 00m 01.506s,    000h 01m 16.406s
49,    1477,    77883,    000h 00m 01.477s,    000h 01m 17.883s
50,    1687,    79570,    000h 00m 01.687s,    000h 01m 19.570s
51,    1724,    81294,    000h 00m 01.724s,    000h 01m 21.294s
52,    1631,    82925,    000h 00m 01.631s,    000h 01m 22.925s
53,    1549,    84474,    000h 00m 01.549s,    000h 01m 24.474s
54,    1621,    86095,    000h 00m 01.621s,    000h 01m 26.095s
55,    1652,    87747,    000h 00m 01.652s,    000h 01m 27.747s
56,    1395,    89142,    000h 00m 01.395s,    000h 01m 29.142s
57,    1633,    90775,    000h 00m 01.633s,    000h 01m 30.775s
58,    1648,    92423,    000h 00m 01.648s,    000h 01m 32.423s
59,    1397,    93820,    000h 00m 01.397s,    000h 01m 33.820s
60,    1629,    95449,    000h 00m 01.629s,    000h 01m 35.449s
61,    1478,    96927,    000h 00m 01.478s,    000h 01m 36.927s
62,    1635,    98562,    000h 00m 01.635s,    000h 01m 38.562s
63,    1674,    100236,    000h 00m 01.674s,    000h 01m 40.236s
64,    1723,    101959,    000h 00m 01.723s,    000h 01m 41.959s
65,    1662,    103621,    000h 00m 01.662s,    000h 01m 43.621s
66,    1470,    105091,    000h 00m 01.470s,    000h 01m 45.091s
67,    1596,    106687,    000h 00m 01.596s,    000h 01m 46.687s
68,    1464,    108151,    000h 00m 01.464s,    000h 01m 48.151s
69,    1442,    109593,    000h 00m 01.442s,    000h 01m 49.593s
70,    1653,    111246,    000h 00m 01.653s,    000h 01m 51.246s
71,    1612,    112858,    000h 00m 01.612s,    000h 01m 52.858s
72,    1516,    114374,    000h 00m 01.516s,    000h 01m 54.374s
73,    1492,    115866,    000h 00m 01.492s,    000h 01m 55.866s
74,    1441,    117307,    000h 00m 01.441s,    000h 01m 57.307s
