pass,    time (ms),    total time (ms),    time,     total_time
94,    4193,    394382,    000h 00m 04.193s,    000h 06m 34.382s
95,    4477,    398859,    000h 00m 04.477s,    000h 06m 38.859s
96,    4437,    403296,    000h 00m 04.437s,    000h 06m 43.296s
97,    4611,    407907,    000h 00m 04.611s,    000h 06m 47.907s
98,    4516,    412423,    000h 00m 04.516s,    000h 06m 52.423s
99,    4162,    416585,    000h 00m 04.162s,    000h 06m 56.585s
100,    4621,    421206,    000h 00m 04.621s,    000h 07m 01.206s
101,    4170,    425376,    000h 00m 04.170s,    000h 07m 05.376s
102,    4254,    429630,    000h 00m 04.254s,    000h 07m 09.630s
103,    4185,    433815,    000h 00m 04.185s,    000h 07m 13.815s
104,    4593,    438408,    000h 00m 04.593s,    000h 07m 18.408s
105,    4235,    442643,    000h 00m 04.235s,    000h 07m 22.643s
106,    4324,    446967,    000h 00m 04.324s,    000h 07m 26.967s
107,    4689,    451656,    000h 00m 04.689s,    000h 07m 31.656s
108,    4272,    455928,    000h 00m 04.272s,    000h 07m 35.928s
109,    4211,    460139,    000h 00m 04.211s,    000h 07m 40.139s
110,    4631,    464770,    000h 00m 04.631s,    000h 07m 44.770s
111,    4705,    469475,    000h 00m 04.705s,    000h 07m 49.475s
112,    4442,    473917,    000h 00m 04.442s,    000h 07m 53.917s
113,    4353,    478270,    000h 00m 04.353s,    000h 07m 58.270s
114,    4226,    482496,    000h 00m 04.226s,    000h 08m 02.496s
115,    4616,    487112,    000h 00m 04.616s,    000h 08m 07.112s
116,    4163,    491275,    000h 00m 04.163s,    000h 08m 11.275s
117,    4742,    496017,    000h 00m 04.742s,    000h 08m 16.017s
118,    4646,    500663,    000h 00m 04.646s,    000h 08m 20.663s
119,    4668,    505331,    000h 00m 04.668s,    000h 08m 25.331s
120,    3913,    509244,    000h 00m 03.913s,    000h 08m 29.244s
121,    4578,    513822,    000h 00m 04.578s,    000h 08m 33.822s
122,    4701,    518523,    000h 00m 04.701s,    000h 08m 38.523s
123,    4584,    523107,    000h 00m 04.584s,    000h 08m 43.107s
124,    4617,    527724,    000h 00m 04.617s,    000h 08m 47.724s
125,    4684,    532408,    000h 00m 04.684s,    000h 08m 52.408s
126,    3691,    536099,    000h 00m 03.691s,    000h 08m 56.099s
127,    4486,    540585,    000h 00m 04.486s,    000h 09m 00.585s
128,    4536,    545121,    000h 00m 04.536s,    000h 09m 05.121s
129,    4737,    549858,    000h 00m 04.737s,    000h 09m 09.858s
130,    4644,    554502,    000h 00m 04.644s,    000h 09m 14.502s
131,    4154,    558656,    000h 00m 04.154s,    000h 09m 18.656s
132,    4231,    562887,    000h 00m 04.231s,    000h 09m 22.887s
133,    4686,    567573,    000h 00m 04.686s,    000h 09m 27.573s
134,    4454,    572027,    000h 00m 04.454s,    000h 09m 32.027s
135,    4239,    576266,    000h 00m 04.239s,    000h 09m 36.266s
136,    4523,    580789,    000h 00m 04.523s,    000h 09m 40.789s
137,    3519,    584308,    000h 00m 03.519s,    000h 09m 44.308s
138,    4504,    588812,    000h 00m 04.504s,    000h 09m 48.812s
139,    4274,    593086,    000h 00m 04.274s,    000h 09m 53.086s
140,    4535,    597621,    000h 00m 04.535s,    000h 09m 57.621s
141,    4471,    602092,    000h 00m 04.471s,    000h 10m 02.092s
142,    4459,    606551,    000h 00m 04.459s,    000h 10m 06.551s
143,    4492,    611043,    000h 00m 04.492s,    000h 10m 11.043s
144,    4221,    615264,    000h 00m 04.221s,    000h 10m 15.264s
