pass,    time (ms),    total time (ms),    time,     total_time
1,    2187,    2187,    000h 00m 02.187s,    000h 00m 02.187s
2,    2081,    4268,    000h 00m 02.081s,    000h 00m 04.268s
3,    2117,    6385,    000h 00m 02.117s,    000h 00m 06.385s
4,    2066,    8451,    000h 00m 02.066s,    000h 00m 08.451s
5,    2225,    10676,    000h 00m 02.225s,    000h 00m 10.676s
6,    2200,    12876,    000h 00m 02.200s,    000h 00m 12.876s
7,    2116,    14992,    000h 00m 02.116s,    000h 00m 14.992s
8,    2086,    17078,    000h 00m 02.086s,    000h 00m 17.078s
9,    2132,    19210,    000h 00m 02.132s,    000h 00m 19.210s
10,    1997,    21207,    000h 00m 01.997s,    000h 00m 21.207s
11,    2164,    23371,    000h 00m 02.164s,    000h 00m 23.371s
12,    2239,    25610,    000h 00m 02.239s,    000h 00m 25.610s
13,    1943,    27553,    000h 00m 01.943s,    000h 00m 27.553s
14,    2100,    29653,    000h 00m 02.100s,    000h 00m 29.653s
15,    2167,    31820,    000h 00m 02.167s,    000h 00m 31.820s
16,    2156,    33976,    000h 00m 02.156s,    000h 00m 33.976s
17,    2031,    36007,    000h 00m 02.031s,    000h 00m 36.007s
18,    2080,    38087,    000h 00m 02.080s,    000h 00m 38.087s
19,    1977,    40064,    000h 00m 01.977s,    000h 00m 40.064s
20,    2003,    42067,    000h 00m 02.003s,    000h 00m 42.067s
21,    2154,    44221,    000h 00m 02.154s,    000h 00m 44.221s
22,    2188,    46409,    000h 00m 02.188s,    000h 00m 46.409s
23,    2183,    48592,    000h 00m 02.183s,    000h 00m 48.592s
24,    2224,    50816,    000h 00m 02.224s,    000h 00m 50.816s
25,    1609,    52425,    000h 00m 01.609s,    000h 00m 52.425s
26,    2170,    54595,    000h 00m 02.170s,    000h 00m 54.595s
27,    2237,    56832,    000h 00m 02.237s,    000h 00m 56.832s
28,    2037,    58869,    000h 00m 02.037s,    000h 00m 58.869s
29,    1983,    60852,    000h 00m 01.983s,    000h 01m 00.852s
30,    2184,    63036,    000h 00m 02.184s,    000h 01m 03.036s
31,    2125,    65161,    000h 00m 02.125s,    000h 01m 05.161s
32,    2146,    67307,    000h 00m 02.146s,    000h 01m 07.307s
33,    2041,    69348,    000h 00m 02.041s,    000h 01m 09.348s
34,    2159,    71507,    000h 00m 02.159s,    000h 01m 11.507s
35,    2097,    73604,    000h 00m 02.097s,    000h 01m 13.604s
36,    2199,    75803,    000h 00m 02.199s,    000h 01m 15.803s
37,    2107,    77910,    000h 00m 02.107s,    000h 01m 17.910s
38,    1776,    79686,    000h 00m 01.776s,    000h 01m 19.686s
39,    2265,    81951,    000h 00m 02.265s,    000h 01m 21.951s
40,    2118,    84069,    000h 00m 02.118s,    000h 01m 24.069s
41,    1966,    86035,    000h 00m 01.966s,    000h 01m 26.035s
42,    2147,    88182,    000h 00m 02.147s,    000h 01m 28.182s
43,    1944,    90126,    000h 00m 01.944s,    000h 01m 30.126s
44,    2168,    92294,    000h 00m 02.168s,    000h 01m 32.294s
45,    2255,    94549,    000h 00m 02.255s,    000h 01m 34.549s
46,    2191,    96740,    000h 00m 02.191s,    000h 01m 36.740s
47,    2237,    98977,    000h 00m 02.237s,    000h 01m 38.977s
48,    2106,    101083,    000h 00m 02.106s,    000h 01m 41.083s
49,    2178,    103261,    000h 00m 02.178s,    000h 01m 43.261s
