pass,    total time (ms)
1, 3394
2, 6779
4, 13694
8, 27266
16, 54510
32, 108783
64, 217304
128, 434222
256, 867793
512, 1735158
1024, 3467766
2048, 6936717
4096, 13873655
8192, 27738725
